"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 21 10:42:39 CEST 2020","Wed Oct 21 10:42:59 CEST 2020","19529","System Suite","System Tests","com.tests.NavUsersTests","com.tests.NavUsersTests","testMethod","This test case tests if user can manage user page successfully",""
"passed","Wed Oct 21 10:43:06 CEST 2020","Wed Oct 21 10:43:21 CEST 2020","14958","System Suite","System Tests","com.tests.NavProfileTests","com.tests.NavProfileTests","testMethod","This test case tests if user manage profile page successfully",""
"passed","Wed Oct 21 10:39:57 CEST 2020","Wed Oct 21 10:40:01 CEST 2020","3987","System Suite","System Tests","com.tests.SupervisorPageTests","com.tests.SupervisorPageTests","testMethod","This test is for Manager/Supervisor Dashboard",""
"broken","Tue Oct 20 11:07:14 CEST 2020","Tue Oct 20 11:07:14 CEST 2020","1","System Suite","System Tests","com.tests.SideChatPageTests","com.tests.SideChatPageTests","openChrome","openChrome",""
"passed","Wed Oct 21 10:42:24 CEST 2020","Wed Oct 21 10:42:32 CEST 2020","7409","System Suite","System Tests","com.tests.NavFileTests","com.tests.NavFileTests","testMethod","This test case tests if user can navigate in file successfully",""
"passed","Wed Oct 21 10:40:20 CEST 2020","Wed Oct 21 10:41:10 CEST 2020","49990","System Suite","System Tests","com.tests.SideManagementTests","com.tests.SideManagementTests","testMethod","This test is for Management Page",""
"passed","Wed Oct 21 10:40:08 CEST 2020","Wed Oct 21 10:40:12 CEST 2020","4287","System Suite","System Tests","com.tests.NavDepartmentsTests","com.tests.NavDepartmentsTests","testMethod","This test case tests if user can navigate in Department successfully",""
"broken","Tue Oct 20 14:52:11 CEST 2020","Tue Oct 20 14:52:11 CEST 2020","2","System Suite","System Tests","com.tests.SideManagementTests","com.tests.SideManagementTests","openChrome","openChrome",""
"passed","Wed Oct 21 10:41:18 CEST 2020","Wed Oct 21 10:42:16 CEST 2020","57485","System Suite","System Tests","com.tests.SideChatPageTests","com.tests.SideChatPageTests","testMethod","This test case tests if user can speak successfully in chat",""
"passed","Wed Oct 21 10:43:29 CEST 2020","Wed Oct 21 10:43:43 CEST 2020","14272","System Suite","System Tests","com.tests.NavSettingsTests","com.tests.NavSettingsTests","testMethod","This Test case tests if user can use settings successfully",""
"passed","Wed Oct 21 10:39:52 CEST 2020","Wed Oct 21 10:39:54 CEST 2020","1314","System Suite","System Tests","com.tests.LoginTests","com.tests.LoginTests","testMethod","This test case tests if user can Login successfully",""
